code;name;groupid;ownerid
54a2ef59c062fcc639486148;Brasil1;;
54b7db060b6580141d6d0a0d;Rio de Janeiro;;54f739a4446f40030049f2f4
54be44958b7378030048fba5;Claudia;54b7db060b6580141d6d0a0d;54be44648b7378030048fba3
54bfb06b17255f030065588c;Rio de Janeiro;;54a2e3c451c8482f39ec6ae5
54bfb5db17255f03006558a2;Jonas Loureiro;54b7db060b6580141d6d0a0d;54bfb5a817255f030065589f
54bfc42817255f03006558fa;Luiz Gonzaga;54b7db060b6580141d6d0a0d;567173bd3823191403535366
550af8e72145040300c9bcaa;Ivete;54b7db060b6580141d6d0a0d;567178b6382319140353536a
56716d37382319140353535b;Monica;54b7db060b6580141d6d0a0d;56716e87382319140353535f
56716d73382319140353535c;Denizard;54b7db060b6580141d6d0a0d;567175f73823191403535368
569cff34311aacee422d996e;Marco Paim;54b7db060b6580141d6d0a0d;569cff7d311aacee422d996f
